nas,quyt,havu,roochan,wanlee,a2ex,hungpui,paracetamon,myhanh,yukin,cumber,mekko,zinki,svsh,nguoida,zekrom,yangg,lalune,alan,tieuchay,sasha,kie,eklove,snipertx,watson,hoanghiep,candy,dithucc,junimo,keymis,namonade,duygudboy,bbom,dogtung,thngem,Result
0,0,0,2,0,0,0,0,1,0,1,0,0,0,2,0,0,1,2,0,0,0,1,0,2,0,2,0,0,0,0,0,1,0,0,1
0,0,0,1,0,0,2,0,1,0,2,0,0,0,2,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1
0,0,0,0,0,0,2,0,1,0,2,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,2,0,0,0,1,0,2,0,0,2
0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,2,1,0,0,0,1,0,2,0,2,0,0,0,2,0,0,0,0,2
0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,2,0,1,1,0,0,0,1,0,2,0,1,0,0,0,2,0,0,0,0,2
0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,2,1,0,0,0,2,2,1,0,0,1
0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,2,0,0,2,1,0,0,0,1,0,2,0,0,2
0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,1,0,2,2,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,2
0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,2,1,0,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,1,1,1,0,0,0,2,0,2,2,0,0,0,0,0,1,0,0,1
0,0,0,1,0,0,1,0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,2,0,0,1
0,0,2,1,0,0,2,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,2,0,0,1
0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,1,0,0,0,2,0,2,0,0,1
0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,2,0,0,1
0,0,1,0,0,0,0,0,2,0,2,0,0,1,0,2,0,2,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,2
0,0,1,0,0,0,0,0,2,0,2,0,0,2,0,1,0,2,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,1,0,0,0,1,0,0,2,0,0,0,1,2,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,1
0,0,1,0,0,0,1,0,0,0,2,0,0,1,2,0,0,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,2,1,0,0,0,0,2,0,0,2,0,0,0,2,0,2,0,0,1
2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,1
1,0,2,2,0,0,2,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1
2,0,2,0,0,0,1,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,2
2,0,2,0,0,0,0,0,0,2,0,0,0,2,1,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,2
0,0,0,0,0,1,2,0,0,2,2,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,2
0,0,0,0,0,0,2,0,2,1,0,0,0,1,0,0,0,1,2,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,1
0,0,0,0,0,0,1,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,2,1,1,0,0,2
0,0,0,2,0,0,2,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,2,0,2
0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,2,0,2
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,2,0,0,0,0,2,1,2,2,2
0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,2,2
0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,1
